seed,sample,ranking_score
1,0,0.579895230545233
1,1,0.608839668435504
1,2,0.6043685988409718
1,3,0.6194973127757052
1,4,0.6313034686202584
2,0,0.5468365422567163
2,1,0.5819586984674439
2,2,0.599167420644757
2,3,0.6254076693385076
2,4,0.6168079786307945
3,0,0.5840935831491547
3,1,0.5929170766949008
3,2,0.6136340182630933
3,3,0.5736707029283221
3,4,0.6236045018089077
4,0,0.5601281538608542
4,1,0.6416572015637809
4,2,0.5952050240051885
4,3,0.6099069010332238
4,4,0.5906890836341399
5,0,0.5719733580555062
5,1,0.6078736396206414
5,2,0.5929519120639434
5,3,0.5693041259253238
5,4,0.5543791937094438
